run_id,scenario,solver,n_proposals,run_iter,seed,start_time,end_time,runtime
ba6fc1a9-6a32-4370-9321-02c7bfc0895d,NLIN+CONV,WS,10,7,20,2023-04-01 15:01:28.873069,2023-04-01 15:01:44.413255,15.540186
d6dc6719-92b1-45db-bf69-1e8122b823d7,NLIN+CONV,WS,10,8,119,2023-04-01 15:01:44.460963,2023-04-01 15:01:59.985327,15.524364
c7ee8c07-093b-49b5-8fdb-3796559c8406,NLIN+CONV,WS,10,9,5,2023-04-01 15:02:00.032509,2023-04-01 15:02:15.493770,15.461261
99471e34-2cb5-43be-abc4-5c233e37a463,NLIN+CONV,WS,10,10,37,2023-04-01 15:02:15.540959,2023-04-01 15:02:31.014004,15.473045
45d0a2dc-0262-41a3-8e89-ec490600a83f,NLIN+CONV,Ours,1,1,113,2023-04-01 15:02:31.273489,2023-04-01 15:02:33.412293,2.138804
2223258f-7f93-418f-915f-642423ff0ebe,NLIN+CONV,Ours,1,2,183,2023-04-01 15:02:33.417256,2023-04-01 15:02:35.531346,2.11409
505caf12-b1cc-4111-b470-06f2935eb914,NLIN+CONV,Ours,1,3,172,2023-04-01 15:02:35.536507,2023-04-01 15:02:37.643787,2.10728
0877bf61-089d-48c0-997a-93e1944a66d2,NLIN+CONV,Ours,1,4,253,2023-04-01 15:02:37.648702,2023-04-01 15:02:39.788587,2.139885
e561c359-1c84-427e-a2b4-4a7f28965a4c,NLIN+CONV,Ours,1,5,33,2023-04-01 15:02:39.793434,2023-04-01 15:02:41.903818,2.110384
dfdec169-70b7-425d-8bbd-2e2d4e85a34c,NLIN+CONV,Ours,1,6,254,2023-04-01 15:02:41.908682,2023-04-01 15:02:44.001318,2.092636
30b2276e-b2e3-4d7f-9957-3ed4e0f32e71,NLIN+CONV,Ours,1,7,20,2023-04-01 15:02:44.006137,2023-04-01 15:02:46.201106,2.194969
959c27cf-70c2-4dce-b6a5-46ddacdcdd70,NLIN+CONV,Ours,1,8,119,2023-04-01 15:02:46.205977,2023-04-01 15:02:48.323349,2.117372
8f6b6933-151f-4dbb-a949-d1e704cfa29e,NLIN+CONV,Ours,1,9,5,2023-04-01 15:02:48.328246,2023-04-01 15:02:50.443421,2.115175
ccd79a14-61f7-4ae3-bd94-71cdbd97dee6,NLIN+CONV,Ours,1,10,37,2023-04-01 15:02:50.448245,2023-04-01 15:02:52.580297,2.132052
